F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,Label
0.38272,0.45749,0.21295,0.88327,1.1182,2.4948,2.1765,3.0796,4.0718,5.0768,4.9019,2.3687,1.1701,1.2886,0.93472,1.5066,0.18701,0.27701,0.8777,1.2862,0.30758,0.6765,0.47512,0.85243,0.58354,0.56234,0.70661,0.40187,0.89869,0.81412,0.2199,0.91005,0.40325,0.43529,0.7821,0.61778,0.17694,0.24695,0.35865,0.47828,0.31788,0.12133,0.60086,0.60608,0.39044,0.23816,0.71438,0.38169,0.40796,0.36011,0.65555,1,Corona
0.68677,0.966,0.8801,0.062723,0.65924,2.9996,1.2196,2.832,4.0365,5.5837,5.8297,2.4401,1.5916,1.5985,1.1144,1.2967,0.59325,0.61954,0.42682,0.051935,0.40278,0.57342,0.78017,0.36405,0.39664,0.48484,0.24778,0.34871,0.21057,0.19222,0.846,1.0131,0.84259,0.38075,0.71805,0.47234,0.62005,0.93942,0.24444,0.58687,0.71178,0.3414,0.4897,0.52837,0.21161,0.65375,0.67156,0.33853,0.55681,1.1508,0.6211,1,Corona
0.33309,0.26369,0.79037,0.57879,0.59402,1.8632,2.1178,2.5648,3.7835,4.2837,4.5689,1.0915,0.43939,0.77066,1.1786,1.1547,1.6177,1.3128,1.1481,0.80153,0.21406,0.42414,0.96633,1.2995,0.31053,0.86736,0.19187,0.78578,0.39978,0.51431,0.64887,0.1696,0.43778,0.46401,0.26887,0.39135,0.45404,0.35355,0.30571,0.68999,0.2342,0.49824,0.56549,0.79138,0.92156,0.24753,0.24616,0.53304,0.5474,0.52311,0.52393,1,Corona
0.30828,0.43837,0.54573,0.21443,0.66894,3.553,2.1123,3.1701,4.1244,5.9131,5.6443,2.3601,2.139,2.7096,0.77837,1.9305,0.66964,0.24303,0.15939,0.54588,0.12015,0.57061,0.91325,0.29868,0.10625,0.81812,0.54517,0.30897,0.87448,0.33803,0.46771,0.35911,0.2968,0.80617,0.46693,0.064685,0.97031,0.15076,0.34573,0.34086,0.30492,0.31117,0.53359,0.45367,1.1412,0.35116,0.25144,0.56651,0.69491,0.77833,0.5145,1,Corona
1.2748,0.79221,0.18008,0.29965,0.64663,2.9783,2.0279,2.6429,4.52,5.1354,4.8293,2.2764,0.62069,1.8001,1.2239,1.329,0.42431,0.39105,0.3392,0.59542,0.65178,0.52993,0.43566,0.46871,0.44824,0.30244,0.068932,0.93436,0.59062,0.58578,0.62929,0.32961,0.2118,0.2184,0.78123,0.63326,0.67854,0.83496,0.37139,0.40394,0.30217,0.4895,0.90952,0.66879,0.74463,0.32713,0.72889,0.89824,0.96909,0.17208,0.31792,1,Corona
1.4732,0.92083,1.0496,0.90998,1.3705,3.457,2.0717,2.6821,3.8443,6.1994,6.2522,2.4256,1.9431,1.5007,1.0329,1.3993,0.32393,0.62421,0.14908,0.32423,0.25162,0.59553,0.40224,0.17916,0.28187,0.18017,0.89385,0.78197,0.59695,0.16174,0.5297,0.51641,0.25803,0.40817,0.75309,0.98541,0.50153,0.61679,0.78096,0.79341,0.53236,0.77576,0.15416,0.33312,0.60142,0.62171,0.4394,1.3919,0.53842,0.52811,0.10844,1,Corona
0.58693,0.60367,0.24593,0.43161,0.32376,3.0188,1.5266,2.0963,3.9271,4.8457,5.2742,2.1667,1.2173,1.2427,0.6302,0.91472,0.55093,0.33244,0.26715,0.44832,0.32483,0.54432,0.36686,0.38018,0.86742,0.47097,0.28443,0.81691,0.56331,0.63722,0.25899,0.64375,0.38574,0.70088,0.44876,0.43539,0.52374,0.57388,0.1667,0.25545,0.35009,0.039962,0.21347,0.13403,0.58076,0.1776,0.93827,0.51909,0.18825,0.47282,0.45972,1,Corona
0.56253,0.47662,0.42815,0.67165,1.2196,7.4084,3.53,4.7754,2.473,1.9248,0.2907,0.75394,0.88036,0.43484,0.35413,0.50856,0.13856,0.052658,0.11145,0.14479,0.13262,0.20536,0.12651,0.43407,0.42891,0.33838,0.23327,0.2938,0.46947,0.42919,0.20982,0.33342,0.52648,0.35365,0.23131,0.5265,0.338,0.23747,0.41874,0.086062,0.21264,0.079262,0.45224,0.51461,0.052075,0.30226,0.79256,0.30829,0.42436,0.47039,0.24017,1,Corona
1.2858,0.52771,0.74806,0.71629,0.9176,2.7295,2.7133,3.2027,4.2362,5.1098,5.5251,2.1466,0.88891,1.4745,0.75595,0.78552,0.59937,0.076441,1.054,0.82326,0.24791,0.66391,0.25498,0.55398,0.40272,0.75616,0.26762,0.75549,0.4641,0.087703,0.35997,0.68066,1.0067,0.59457,0.64745,0.56113,0.94144,0.3721,0.46266,0.80848,0.48286,0.74225,0.51167,1.102,0.17179,0.75496,0.38818,0.17666,0.19079,0.41111,0.45055,1,Corona
0.16845,0.85206,0.54672,0.51297,0.64858,2.2907,0.74485,1.3504,2.3692,2.8382,3.1026,0.21726,2.4416,2.014,1.5663,3.3819,1.2348,0.87583,0.027868,0.68384,0.69369,0.21764,1.0775,1.3063,0.62876,0.79191,0.60779,0.13601,0.38623,0.38448,0.12946,0.64105,0.73892,1.0202,0.3454,0.34879,0.12,0.13375,0.94977,0.53402,0.25639,0.44224,0.75556,0.41909,0.33361,0.44571,1.122,0.40189,0.6394,0.5917,0.084563,1,Corona
