F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,Label
4.9852,1.7002,5.3578,4.7279,4.821,2.2004,2.8046,9.4603,6.1101,5.6245,9.2224,3.819,7.055,3.0541,3.772,4.9056,4.4213,6.575,6.5648,6.1004,8.6473,6.4605,1.4442,3.8784,6.4663,3.5872,6.8756,5.9383,5.9524,4.7666,1,Corona
4.1754,8.6409,6.8796,8.0231,8.1893,5.8414,12.283,8.6136,9.2668,4.7734,9.1482,2.47,8.4845,9.2846,4.7107,8.4383,4.6545,3.3829,6.5278,4.0835,8.8356,8.216,1.4954,6.6473,5.0153,8.6617,6.5301,7.149,3.396,7.4449,1,Corona
1.4374,10.641,10.674,7.9611,13.531,16.146,5.0402,5.8486,6.5629,4.1802,14.926,4.9751,13.804,5.2639,1.7979,16.048,10.803,0.86608,4.9281,2.5437,7.7455,3.2457,8.5177,6.1284,6.3624,10.777,1.5614,4.048,8.002,1.0374,1,Corona
8.8211,2.0873,8.8289,3.407,5.8046,5.7876,10.336,3.6567,5.4766,10.115,2.2668,13.224,11.816,1.9374,1.4392,9.2057,4.0951,11.891,11.165,6.4599,2.7968,15.731,3.2446,3.0813,5.1717,6.717,10.581,4.7732,7.7255,2.8965,1,Corona
9.6458,7.7144,11.255,4.5742,3.2004,8.046,14.463,3.9523,7.5301,9.0385,13.831,6.0809,6.5225,7.9051,1.3161,2.2291,9.0317,8.0865,14.213,6.6229,9.4062,5.671,8.9944,11.708,2.2289,11.441,3.3275,6.1635,12.16,9.9842,1,Corona
4.3127,17.981,2.9985,6.1803,2.9161,6.0074,1.5953,10.694,6.2257,6.111,5.6701,5.7874,13.245,8.8017,3.4053,11.403,7.9129,7.8215,2.7704,13.332,11.7,6.3325,4.726,6.3123,4.4532,3.0457,13.9,7.16,5.1667,3.5243,1,Corona
4.4401,8.5348,8.723,2.7898,6.9843,1.1636,7.0438,1.1384,9.8088,4.9311,10.423,7.9863,5.412,12.503,6.3389,9.0925,2.0921,5.2523,11.395,5.4193,5.9507,10.969,4.8327,8.5281,3.5332,0.49971,10.2,7.4604,8.3734,2.7838,1,Corona
8.4347,2.3114,4.3392,3.2641,6.5968,5.094,2.1963,9.5961,4.057,6.6317,0.43924,4.1674,2.9883,11.143,5.837,6.5014,4.4605,5.7804,11.165,6.7693,8.0727,10.878,2.784,7.2324,12.088,0.53755,7.7932,11.227,13.307,9.9742,1,Corona
4.5072,4.2615,13.639,7.028,5.3931,2.1076,5.6058,1.1566,7.8719,4.2679,11.238,9.1606,4.9502,1.4294,4.0254,5.5774,14.074,5.1153,5.952,6.4163,6.3514,3.6587,7.894,9.3749,3.6141,8.9763,5.5897,1.7485,5.9514,6.9189,1,Corona
11.699,15.699,8.9741,4.7667,7.6959,4.6714,10.555,0.5029,8.6901,9.1818,4.6799,9.4579,4.8628,7.2176,6.9784,8.7917,10.161,11.432,4.6249,10.02,9.8683,8.3519,1.2559,6.4064,2.5577,8.4302,10.435,25.235,10.988,16.734,1,Corona
6.3421,2.88,6.4794,3.2197,1.9452,3.9527,8.322,18.023,12.447,11.175,10.39,3.4177,13.863,18.475,11.04,10.086,9.2341,12.611,2.7579,11.184,5.077,8.2576,7.6449,10.489,7.8212,8.5726,4.2039,13.714,3.6134,7.6029,1,Corona
7.423,19.45,5.4195,2.6875,14.651,11.095,3.5151,3.481,11.977,17.701,13.381,9.5675,13.377,6.7613,8.2626,11.519,2.3111,6.5176,2.1071,2.1581,10.78,7.8406,10.437,17.055,8.5119,8.8922,8.7909,13.467,4.7228,11.229,1,Corona
4.2483,14.122,12.669,5.6208,13.799,3.1468,10.945,5.5063,2.9833,9.2306,10.525,7.8605,7.821,10.226,13.59,7.8483,9.6489,8.7979,2.6247,4.284,7.3302,1.927,3.886,10.634,5.4342,16.463,3.509,5.3441,16.313,3.2136,1,Corona
10.3,25.293,4.097,4.5683,5.6673,9.6949,7.1475,13.024,10.307,10.441,0.9928,2.3882,9.1705,9.6818,11.219,3.1506,3.2181,15.996,5.4489,2.4766,4.9682,10.689,7.2524,10.351,3.9261,9.0502,6.9374,5.4822,6.2201,16.67,1,Corona
7.5723,13.922,15.804,11.19,7.682,6.4099,3.7609,6.4173,11.302,6.2129,8.2005,1.6638,3.9238,8.8959,2.9023,15.924,3.531,8.9105,6.8681,12.006,10.593,6.5993,7.535,18.306,7.2818,1.2551,7.3457,10.892,5.4359,11.944,1,Corona
2.4611,11.846,6.4842,5.1554,6.4757,12.062,1.3752,4.8863,2.4952,8.4568,9.2601,5.3535,3.0766,1.2815,11.749,7.5996,10.047,6.5674,2.6075,11.989,6.235,1.2301,6.194,3.6141,5.0823,5.1805,6.4781,2.4243,6.2332,1.6269,1,Corona
3.377,10.191,11.939,12.025,13.992,12.793,9.5825,10.18,4.0811,16.325,9.5711,5.2675,16.331,14.855,10.394,3.8025,10.096,8.7155,13.319,9.8808,3.5796,3.5119,8.4616,8.3705,7.1804,4.195,5.9002,8.8471,7.9477,5.2878,1,Corona
5.3825,11.305,2.5818,6.1328,4.5754,6.5948,6.6379,6.6036,7.3635,9.8367,5.8622,14.437,5.5285,1.5417,4.6823,0.45145,8.1987,3.4137,3.9106,4.9542,3.3991,2.6528,4.8824,3.0033,8.9013,9.5067,2.2188,9.6071,5.1453,12.743,1,Corona
2.5667,13.192,4.4595,4.5571,6.2485,10.964,3.9058,6.9766,7.6273,7.3174,8.0715,9.8114,6.1138,14.903,3.5815,12.787,10.246,2.5477,3.3469,13.935,5.5811,2.5773,14.161,9.0011,17.028,5.376,6.7179,6.8626,13.973,15.486,1,Corona
9.8557,17.845,15.977,7.0174,12.098,5.1058,10.316,11.16,12.908,3.8347,5.5143,3.6803,7.5791,4.8934,4.8565,12.951,3.7696,11.409,11.217,10.351,4.2414,4.6678,5.4778,12.641,6.378,3.0497,1.8305,8.2348,2.8406,8.3834,1,Corona
3.0651,11.883,6.2888,0.80336,6.6099,6.7438,1.2339,8.0271,6.4399,4.3607,5.8236,7.8543,17.534,11.288,2.5244,5.0181,5.1563,7.866,5.7386,3.3886,8.1309,17.988,8.3044,14.266,2.9193,22.891,4.4985,7.7245,5.2467,6.9771,1,Corona
4.559,23.807,5.6232,9.0498,15.023,4.2709,5.3093,15.122,10.623,2.3152,4.3267,8.8163,9.0819,1.9379,7.9604,9.9557,10.558,10.546,18.116,11.232,1.492,8.3974,9.2892,5.5286,10.357,9.0578,11.076,7.3666,3.5617,17.309,1,Corona
2.5411,7.8336,7.1219,9.656,6.6895,2.4574,5.0258,2.1006,11.475,5.5635,6.0497,13.847,3.8215,4.3936,10.259,3.4431,5.3996,6.8627,6.8472,9.5248,13.406,7.4219,2.4606,16.977,4.4578,6.3993,11.975,13.078,6.9867,11.661,1,Corona
12.309,7.292,14.537,2.6638,14.364,16.931,11.181,8.3062,6.5845,3.9845,3.1075,5.4265,6.3326,3.9181,3.216,6.6733,3.5703,9.776,12.419,6.449,14.027,1.0958,4.8911,16.657,16.516,9.6849,18.703,10.747,11.056,11.122,1,Corona
12.355,17.298,10.069,5.4324,18.575,7.4181,14.282,6.958,6.8146,2.2321,9.8617,3.8196,11.006,7.0884,4.3496,12.74,5.1252,3.2849,5.6678,3.367,10.794,13.484,17.5,8.4085,3.234,11.959,13.169,4.2153,11.174,0.78773,1,Corona
2.3989,15.916,13.163,13.608,13.706,8.5745,1.8049,2.119,10.506,11.169,9.6565,4.6217,4.4375,7.0589,19.143,13.621,13.396,11.546,12.975,1.7044,13.598,6.8194,3.2639,6.4242,16.176,7.9773,0.81712,7.2959,3.2948,12.695,1,Corona
1.4536,14.028,10.918,8.0539,2.4037,6.0731,8.5035,4.0756,13.221,5.8069,6.6262,18.684,11.037,6.9632,17.054,15.197,9.2757,11.403,12.269,12.485,17.766,7.809,3.1116,7.1301,4.3916,2.7035,6.402,4.9399,2.8442,6.2823,1,Corona
