F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Label
3.8276,7.6745,18.087,17.441,19.326,13.529,22.514,3.9875,20.462,11.176,6.0977,13.599,2.6846,18.382,15.816,24.583,2.4651,10.438,3.9699,11.091,27.89,8.2972,13.909,12.691,23.319,12.316,14.806,13.669,15.48,15.694,29.545,11.776,5.7149,34.119,7.2337,1,Corona
3.3268,23.379,13.408,22.988,14.65,25.954,23.182,14.666,9.5729,4.4632,9.299,24.347,12.613,19.621,9.7681,15.655,10.235,22.164,11.494,32.044,41.375,25.093,24.135,11.37,24.712,29.71,26.574,19.573,24.39,24.75,20.327,25.721,31.121,11.52,16.42,1,Corona
10.93,14.885,9.0259,16.376,4.3494,8.8484,26.984,17.08,20.927,29.584,8.2803,12.841,9.3955,8.9012,9.8588,17.488,9.631,5.6161,9.7282,5.7288,7.7412,14.525,9.3447,10.842,7.914,2.1095,19.989,20.759,16.612,16.805,5.5453,20.069,9.1664,19.473,8.3405,1,Corona
19.513,13.766,19.63,7.7694,19.089,20.366,8.5959,37.172,12.908,19.832,40.078,10.921,14.907,28.715,17.87,17.511,17.906,2.0127,16.759,20.78,30.566,8.3859,24.632,18.494,17.972,25.049,23.031,9.6938,44.378,20.128,15.835,7.0345,5.4369,10.65,33.377,1,Corona
0.49985,4.1654,5.8203,32.965,19.773,13.525,9.0967,16.01,15.509,16.819,30.679,26.395,14.347,22.682,13.642,15.746,25.091,16.794,14.005,8.283,27.095,5.5466,37.494,26.518,9.9579,20.52,14.879,29.592,17.592,15.427,21.878,10.967,18.918,7.6379,7.1249,1,Corona
19.878,7.2301,17.224,9.2628,37.694,16.43,31.482,14.994,29.024,29.262,12.018,7.4887,20.41,2.8261,20.697,19.736,31.987,32.056,23.312,4.8095,29.826,19.417,22.915,22.141,26.968,23.843,8.593,13.295,22.198,13.099,10.869,17.665,7.4406,10.724,17.674,1,Corona
2.8323,17.8,25.174,7.9142,8.9725,12.733,3.8411,9.6592,19.727,1.0669,14.422,12.087,20.221,1.2014,16.734,30.161,14.385,16.209,27.24,12.639,8.7621,6.5398,3.1201,8.003,13.337,28.474,18.96,6.8898,23.341,6.8518,20.378,2.0257,15.295,24.365,19.743,1,Corona
9.5325,27.429,11.88,12.739,6.2934,19.856,11.328,9.1748,13.862,2.1762,10.242,32.533,25.2,6.7916,9.1664,9.96,21.929,10.884,30.178,5.3873,5.7756,2.2005,13.922,10.111,13.238,33.411,11.197,2.5127,13.803,16.988,13.003,30.099,14.583,18.923,19.551,1,Corona
11.542,15.386,13.298,26.249,6.8483,7.0655,20.337,14.723,5.3218,24.419,18.793,26.709,21.581,43.115,15.058,24.829,15.733,42.434,1.5383,10.164,21.5,16.487,28.134,5.6868,16.78,14.912,27.618,9.7785,8.1997,30.704,37.146,19.498,43.839,17.143,16.275,1,Corona
26.347,30.74,44.284,12.816,3.6722,24.285,13.916,11.65,7.3649,18.413,17.273,34.422,2.481,9.0597,23.154,32.295,21.579,11.323,26.561,20.727,13.87,40.525,0.94146,19.261,17.094,14.754,26.38,9.4193,24.469,25.281,14.804,24.953,13.085,25.867,29.653,1,Corona
