F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Label
1.3657,2.7022,2.0499,0.94319,3.2118,1.3333,3.4959,5.2993,5.2763,4.7759,6.3845,5.9157,6.5469,6.7654,6.422,4.4203,0.49479,0.90621,0.77957,1.6603,0.353,2.9794,4.0457,0.96817,1.4444,1.72,0.82232,0.52173,0.69014,0.18707,3.4281,2.1745,1.9274,1.6585,1.6234,1.1907,1.241,1.6983,1.9952,2.0925,1.3107,1.9292,2.482,2.2758,1.2049,1.2495,1.1876,1.644,1.6929,1,Corona
3.464,2.2834,0.78226,1.5173,0.68349,1.06,3.8378,4.9397,4.4851,4.392,5.7947,2.7202,1.4878,3.6571,3.3844,1.3561,0.90241,0.6821,1.7939,1.4523,2.2917,1.7051,2.8183,2.0481,1.3177,1.1914,1.2398,2.899,1.7167,2.1625,0.64464,0.28145,1.5822,0.98205,2.4417,0.21723,1.5481,1.7448,1.862,3.0632,0.92379,1.4066,1.8096,1.4246,2.1325,1.4156,0.89585,1.8179,2.2759,1,Corona
0.76071,1.1753,1.8199,0.68716,3.307,2.3133,3.6288,3.3057,2.9977,1.6864,6.2979,4.2786,5.3934,6.6272,3.8618,1.3244,0.86428,1.8228,2.0723,1.6954,1.7501,2.2196,1.2855,1.9586,0.35615,0.93292,1.9722,0.29158,1.9746,0.91146,2.214,0.5477,0.93166,2.34,1.4999,2.3512,0.70913,2.7269,0.48413,3.9762,3.2338,1.4856,1.2534,0.85485,0.64334,1.9359,0.44436,0.5455,0.60949,1,Corona
0.44144,1.544,2.1681,1.5932,3.7658,2.0147,3.2389,3.2765,4.1228,4.0047,4.0402,4.4897,4.4423,3.7696,4.7038,3.5578,2.2232,0.54516,2.0129,1.2226,1.2009,2.7584,2.0282,0.89349,1.3347,4.1756,2.2658,1.9253,1.1675,1.2288,1.0221,0.8339,1.6266,0.48524,2.4702,2.2615,1.3584,0.34333,2.2567,1.7335,1.0215,3.1596,1.7993,2.016,1.1123,0.4413,3.314,1.2228,0.58112,1,Corona
2.1665,0.77045,1.8374,1.0332,3.655,2.835,1.955,1.6859,4.5874,3.1126,3.7058,2.6152,3.2225,3.9561,2.6312,2.6662,3.1621,1.734,0.61664,3.4254,1.7645,2.7266,2.1918,2.2503,0.83497,1.3427,3.0207,1.3527,0.60524,1.5002,1.6022,2.2545,1.8735,1.4701,2.178,2.6328,2.2936,1.6881,0.40791,1.5161,0.8805,3.3112,1.3614,2.6388,0.82918,2.8977,0.45433,1.1265,2.0755,1,Corona
1.5365,3.916,1.6104,1.5564,1.3634,2.7975,2.4312,2.3981,5.6412,6.2122,5.0334,3.9021,4.297,6.4277,4.128,1.7497,1.6356,2.9186,2.5191,0.12792,1.7661,0.15677,0.25073,0.55538,0.82874,1.7306,1.5434,1.4478,0.61659,1.8664,1.2793,0.48859,1.7485,0.89441,2.3172,1.608,1.873,1.6801,2.2908,0.70015,3.1538,2.2353,1.1264,2.6509,0.71087,1.788,0.97377,1.1529,2.0196,1,Corona
1.8862,0.74138,1.2646,1.6753,7.7405,2.826,3.912,4.2594,3.1557,2.8521,1.7193,0.65116,0.81766,0.6725,0.20651,1.1173,0.91695,0.88535,1.2253,1.4726,1.1895,1.4898,3.0464,2.3313,1.9158,1.4841,1.0032,0.96519,1.3029,0.88507,0.60175,0.51081,1.4852,1.6751,2.1185,0.52776,1.756,1.069,0.84097,0.41056,0.80961,1.8649,1.0455,1.283,0.39883,1.134,0.95162,0.50426,0.28281,1,Corona
1.254,1.1949,1.1833,1.2193,1.7937,3.1958,4.4899,3.4624,3.1159,2.7726,3.8007,3.6971,4.0377,5.2131,3.6837,2.0877,1.372,1.6849,0.74431,1.0813,1.2981,1.1998,1.4025,0.12983,1.0555,1.2648,0.11376,2.3795,2.0683,2.1362,1.3888,1.0118,1.6298,1.0797,0.54537,2.7607,2.0881,0.32086,1.795,4.6036,1.722,0.38811,0.80705,2.1866,1.7825,1.3924,1.4164,1.2236,2.4,1,Corona
0.18489,0.57268,0.90665,0.21486,1.731,2.8918,2.8794,3.5571,0.7902,1.6552,4.5277,5.0122,3.4202,2.9731,3.5721,0.91006,3.3612,4.1615,5.2574,6.0011,3.2164,6.2596,5.6481,4.6025,0.7995,2.9655,1.3583,2.2305,1.1684,1.5044,2.3112,1.5471,2.1202,2.5135,3.0268,1.2894,1.0889,0.88557,1.837,2.2071,1.7092,0.23477,2.4662,2.0368,2.1997,1.2176,2.9743,0.68429,1.9415,1,Corona
3.1563,3.1991,0.9618,1.8348,5.2797,3.9681,4.5386,4.284,2.5759,1.4158,6.4267,5.6482,4.4761,4.1256,4.0427,1.6058,2.2166,2.222,3.095,2.3324,2.0854,2.5624,0.50558,2.2953,0.35042,0.84623,1.1016,1.4072,2.4492,1.7094,0.08139,0.72498,2.3957,1.3524,0.93888,1.6688,1.4172,1.645,2.2726,0.80017,0.86912,0.77234,0.70461,1.0996,1.3466,1.275,2.3321,1.7885,2.9436,1,Corona
0.36754,0.53496,4.1395,0.50001,3.2102,3.3916,4.1068,5.1552,1.9843,1.4565,2.4534,3.3519,5.3733,4.5979,1.9375,0.5174,2.5707,0.93015,0.85408,1.9669,2.8406,3.5084,3.3855,1.3792,1.3855,2.1897,1.1728,4.6028,1.9509,1.8593,2.0402,2.6977,2.4228,0.74611,2.9576,2.6458,0.29275,2.782,1.9282,2.613,0.30167,1.9456,0.98332,1.3356,1.4996,4.4586,1.273,3.5827,0.62256,1,Corona
