F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,Label
0.5824,0.39098,0.18143,1.6837,2.9491,2.6849,2.1617,1.4899,1.0719,0.10109,0.037673,0.058972,0.11917,0.21973,0.27944,0.29854,0.19531,0.12034,0.049654,0.12515,0.20319,0.37422,0.078287,0.086775,0.14179,0.32816,0.083321,0.25292,0.029707,0.14964,0.046439,0.16307,0.12183,0.19773,0.18564,0.20797,0.13141,0.10927,0.043259,0.23248,0.25078,0.26779,0.17529,0.25215,0.19225,0.309,0.20787,0.085845,1,Corona
0.58707,0.2441,0.31684,1.3381,2.2034,2.4358,1.7719,0.34401,0.94986,0.26568,0.29793,0.10193,0.39368,0.47435,0.2867,0.075695,0.097677,0.16078,0.35528,0.36002,0.29131,0.1366,0.12909,0.046718,0.034898,0.22695,0.13538,0.11465,0.28679,0.1695,0.11052,0.14422,0.095335,0.13308,0.15971,0.13879,0.15515,0.11074,0.23549,0.26423,0.38781,0.096705,0.1567,0.12893,0.20518,0.072985,0.14279,0.12436,1,Corona
0.68613,0.35156,0.30324,1.7784,3.2879,2.6874,2.3485,1.6098,1.5675,0.19843,0.37497,0.41123,0.32641,0.27672,0.39237,0.12128,0.14259,0.10613,0.31399,0.10983,0.038515,0.20829,0.27581,0.259,0.086452,0.070831,0.07527,0.11023,0.20409,0.14004,0.15393,0.010657,0.051429,0.195,0.1669,0.047872,0.044884,0.17498,0.20236,0.07747,0.17404,0.24003,0.042804,0.32259,0.10618,0.16619,0.15761,0.093936,1,Corona
0.93426,0.53696,0.073456,1.4412,2.4035,2.8623,2.0516,0.65196,0.95961,0.079097,0.33212,0.14537,0.18524,0.34349,0.18453,0.065432,0.21298,0.13315,0.059335,0.14736,0.15568,0.34505,0.10999,0.26731,0.23651,0.32389,0.23885,0.033999,0.34983,0.069345,0.21815,0.040433,0.21417,0.036592,0.15466,0.088041,0.060333,0.12932,0.094557,0.28836,0.10987,0.12719,0.16952,0.22999,0.12755,0.10429,0.19644,0.02698,1,Corona
0.68822,0.36364,0.21992,1.6366,3.3677,2.9865,2.3257,1.5791,1.2264,0.11162,0.13716,0.12375,0.095537,0.12996,0.35563,0.2738,0.2319,0.028365,0.14629,0.40846,0.17088,0.16054,0.1108,0.23388,0.063977,0.046861,0.12693,0.037231,0.26256,0.16596,0.092113,0.17268,0.10302,0.099825,0.30321,0.13756,0.1397,0.30845,0.23586,0.11516,0.3527,0.18337,0.14034,0.19311,0.070328,0.079413,0.28819,0.096236,1,Corona
0.55905,0.48554,0.37704,1.5562,3.0708,2.9808,2.4313,1.0788,1.0667,0.28981,0.13161,0.092454,0.31376,0.34707,0.40207,0.19612,0.1952,0.073492,0.045993,0.15671,0.060946,0.19807,0.16557,0.36193,0.11406,0.096696,0.25892,0.024296,0.23714,0.16182,0.26973,0.02345,0.11574,0.14123,0.12217,0.33835,0.06123,0.29666,0.078664,0.04454,0.045821,0.17619,0.1641,0.11761,0.21082,0.0097175,0.22633,0.086564,1,Corona
0.96529,0.58917,0.13953,3.704,7.2282,4.3546,0.38118,0.69178,0.25817,0.090022,0.24692,0.19901,0.032592,0.28233,0.1266,0.074642,0.075416,0.238,0.022832,0.18939,0.089068,0.19033,0.11158,0.17468,0.081464,0.10959,0.15026,0.1726,0.023268,0.23152,0.097866,0.075899,0.070555,0.1443,0.11961,0.068649,0.045057,0.066573,0.13759,0.080691,0.054861,0.029248,0.019014,0.083561,0.1044,0.088148,0.22321,0.091452,1,Corona
0.66032,0.30536,0.20464,1.8996,2.8857,3.1923,2.4598,1.1617,0.7356,0.38884,0.14318,0.41601,0.37487,0.30599,0.14443,0.022603,0.13969,0.11273,0.20308,0.21663,0.08419,0.19477,0.22629,0.18103,0.15866,0.09562,0.062976,0.22011,0.10023,0.27276,0.16387,0.078884,0.084014,0.12147,0.18072,0.20721,0.26793,0.18651,0.2645,0.077093,0.24495,0.041783,0.2018,0.22494,0.12081,0.14381,0.092445,0.1462,1,Corona
1.1196,0.64308,0.081498,1.0338,2.2851,1.5379,0.31044,1.9374,1.6965,0.75214,0.76483,0.72232,1.0035,1.0345,0.13045,0.062602,0.10746,0.1413,0.13713,0.31474,0.031489,0.31141,0.072024,0.069466,0.10253,0.12941,0.1225,0.21642,0.19444,0.20446,0.153,0.21952,0.12966,0.047307,0.20562,0.19741,0.17703,0.14367,0.23808,0.15177,0.2159,0.19399,0.27169,0.19896,0.03448,0.22116,0.10697,0.13087,1,Corona
0.89654,0.57422,0.19505,1.4117,2.7542,2.3235,1.1566,1.3713,0.68031,0.29467,0.50633,0.18096,0.62787,0.63434,0.35859,0.057063,0.16775,0.31062,0.27812,0.22883,0.18246,0.13287,0.15046,0.10235,0.20697,0.25878,0.36318,0.23157,0.082779,0.2782,0.29071,0.10732,0.1641,0.30208,0.10219,0.086848,0.17872,0.18398,0.27174,0.26479,0.069148,0.053024,0.22672,0.1324,0.34504,0.22757,0.1398,0.14914,1,Corona
